plan_id,timestep,plan_summary,narrative,background
6_3,5,"The player moves up, then right twice, and picks up a red key.","The player moves up, then right twice, and picks up a red key.",The triangle gem and the square gem are each locked behind a red door. The hexagon gem is locked behind a red and a blue door. The circle gem is not locked behind any door. There are two boxes in the scene. There is a red key and blue key visible in the scene.
6_3,14,"The player moves up once, then right six times, picks up a red key, continues moving right five times, moves up twice, picks up a blue key.","The player moves up once, then right twice to pick up a red key. The player then continues moving right five times, moves up twice, picks up a blue key.",The triangle gem and the square gem are each locked behind a red door. The hexagon gem is locked behind a red and a blue door. The circle gem is not locked behind any door. There are two boxes in the scene. There is a red key and blue key visible in the scene.
7_1,7,"The player moves right three times, then down twice, and finally left.","The player moves right three times, then down twice, and finally left towards box 2 and away from box 3.","The square gem is locked behind a red door. The triangle, circle and hexagon gems are not locked behind any doors. There are three boxes. No keys are visible in the scene."
7_1,10,"The player walks right three times, then down twice, left once, opens box 2, which the player finds to be empty. The player then walks right twice.","The player walks right three times, then down twice, left once, opens box 2, which the player finds to be empty. The player then walks right twice towards box 3.","The square gem is locked behind a red door. The triangle, circle and hexagon gems are not locked behind any doors. There are three boxes. No keys are visible in the scene."
7_1,28,"The player walks right three times, down two times, left once, opens box 2, which the player finds to be empty. The player then walks right twice, opens box 3, which the player again finds to be empty. The player then walks left twice, up two times, left three times, up twice, then right eight times.","The player walks right three times, down two times, left once, opens box 2, which the player finds to be empty. The player then walks right twice, opens box 3, which the player again finds to be empty. The player then walks left twice, up two times, left three times, up twice, then right eight times towards box 1.","The square gem is locked behind a red door. The triangle, circle and hexagon gems are not locked behind any doors. There are three boxes. No keys are visible in the scene."
7_2,12,The player walks up twice and then right eight times.,The player walks up twice and then right eight times towards box 1.,"The square gem is locked behind a red door. The triangle, circle and hexagon gems are not locked behind any doors. There are three boxes. No keys are visible in the scene."
7_2,32,"The player first walks up twice, then walks right nine times, opens box 1, which the player finds to be empty. The player then walks left ten times, and finally walks down twice, right three times, down twice, and left once.","The player first walks up twice, then walks right nine times, opens box 1, which the player finds to be empty. The player then walks left ten times, and finally walks down twice, right three times, down twice, and left once.","The square gem is locked behind a red door. The triangle, circle and hexagon gems are not locked behind any doors. There are three boxes. No keys are visible in the scene."
7_3,13,"The player walks up twice, then walks right eight times.","The player walks up twice, then walks right eight times towards box 1.","The square gem is locked behind a red door. The triangle, circle and hexagon gems are not locked behind any doors. There are three boxes. No keys are visible in the scene."
7_3,26,"The player first walks up twice, then walks right eight times, then opens box 1, which the player finds to be empty. The player then then walks left ten times, and finally walks down twice.","The player first walks up twice, then walks right eight times, then opens box 1, which the player finds to be empty. The player then then walks left ten times, and finally walks down twice towards box 2 and 3.","The square gem is locked behind a red door. The triangle, circle and hexagon gems are not locked behind any doors. There are three boxes. No keys are visible in the scene."
7_3,32,"The player moves up twice, then right eight times, opens box 1, which the player finds to be empty. The player then and then moves left ten times, down twice, and right three times.","The player moves up twice, then right eight times, opens box 1, which the player finds to be empty. The player then and then moves left ten times, down twice, and right three times towards box 3.","The square gem is locked behind a red door. The triangle, circle and hexagon gems are not locked behind any doors. There are three boxes. No keys are visible in the scene."
